rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1551447883683077409,,8921,,1551447883,579889297,"""gps""",,2,0,22.3208991317,87.3111166551,7.277,"[5.035152215345532e-06, 3.303005229810446e-13, 0.0, 3.3030052276928636e-13, 5.035150970863896e-06, 0.0, 0.0, 0.0, 8.720965914913397e-08]",3
1551447883732729401,,8922,,1551447883,654894829,"""gps""",,2,0,22.320899137,87.3111166537,7.277,"[4.84066512621434e-06, 7.863424324372801e-13, 0.0, 7.863424326490383e-13, 4.840662164306263e-06, 0.0, 0.0, 0.0, 1.5580230355054976e-07]",3
1551447883782761541,,8923,,1551447883,679975986,"""gps""",,2,0,22.3208991381,87.3111166534,7.277,"[4.769868387626176e-06, 9.258796810583523e-13, 0.0, 9.258796812701105e-13, 4.769864900303381e-06, 0.0, 0.0, 0.0, 1.5116448678452073e-07]",3
1551447883808155597,,8924,,1551447883,704880476,"""gps""",,2,0,22.3208991387,87.3111166533,7.277,"[4.658189097588378e-06, 8.433440031490106e-13, 0.0, 8.433440027254941e-13, 4.658185921178274e-06, 0.0, 0.0, 0.0, 1.1688778293401825e-07]",3
1551447883857784712,,8925,,1551447883,754883051,"""gps""",,2,0,22.3208991414,87.3111166526,7.277,"[4.540543272503107e-06, 1.0890931277054739e-12, 0.0, 1.0890931274937156e-12, 4.5405391706092e-06, 0.0, 0.0, 0.0, 1.3476780295629422e-07]",3
1551447883907965027,,8926,,1551447883,804883242,"""gps""",,2,0,22.320899143,87.3111166521,7.277,"[4.388131160530041e-06, 1.1118382942209556e-12, 0.0, 1.1118382937974392e-12, 4.388126973020134e-06, 0.0, 0.0, 0.0, 1.0700727512355284e-07]",3
1551447883958248348,,8927,,1551447883,855021954,"""gps""",,2,0,22.3208991437,87.311116652,7.277,"[4.242885594511955e-06, 1.0058399019284917e-12, 0.0, 1.0058399019284917e-12, 4.242881806229407e-06, 0.0, 0.0, 0.0, 8.263174213454733e-08]",3
1551447884008019013,,8928,,1551447883,955396891,"""gps""",,2,0,22.3208991447,87.3111166517,7.277,"[4.013725349726852e-06, 7.240939423918042e-13, 0.0, 7.24093942180046e-13, 4.013722622644144e-06, 0.0, 0.0, 0.0, 6.397561454730467e-08]",3
1551447884057590181,,8929,,1551447883,955396891,"""gps""",,2,0,22.3208991447,87.3111166517,7.277,"[4.013725349726852e-06, 7.240939423918042e-13, 0.0, 7.24093942180046e-13, 4.013722622644144e-06, 0.0, 0.0, 0.0, 6.397561454730467e-08]",3
1551447884082637656,,8930,,1551447884,5156994,"""gps""",,2,0,22.3208991462,87.3111166513,7.277,"[3.935435904915417e-06, 7.628519463849162e-13, 0.0, 7.628519463849162e-13, 3.935433031719109e-06, 0.0, 0.0, 0.0, 7.597566179192611e-08]",3
1551447884132986560,,8931,,1551447884,54875135,"""gps""",,2,0,22.3208991478,87.3111166509,7.277,"[3.862883541684868e-06, 8.016866680578852e-13, 0.0, 8.016866681637643e-13, 3.862880522010131e-06, 0.0, 0.0, 0.0, 7.849956323168253e-08]",3
1551447884183257900,,8932,,1551447884,129907608,"""gps""",,2,0,22.3208991526,87.3111166496,7.277,"[3.91459397300502e-06, 1.2948430165640723e-12, 0.0, 1.2948430166699514e-12, 3.9145890942731285e-06, 0.0, 0.0, 0.0, 1.6559511816799218e-07]",3
1551447884232741595,,8933,,1551447884,154864788,"""gps""",,2,0,22.3208991532,87.3111166494,7.277,"[3.88525552978518e-06, 1.3228454787786616e-12, 0.0, 1.3228454787786616e-12, 3.88525054537062e-06, 0.0, 0.0, 0.0, 1.378294182146411e-07]",3
1551447884282760670,,8934,,1551447884,154864788,"""gps""",,2,0,22.3208991532,87.3111166494,7.277,"[3.88525552978518e-06, 1.3228454787786616e-12, 0.0, 1.3228454787786616e-12, 3.88525054537062e-06, 0.0, 0.0, 0.0, 1.378294182146411e-07]",3
1551447884333127203,,8935,,1551447884,229875326,"""gps""",,2,0,22.3208991538,87.3111166493,7.277,"[3.7708415341383676e-06, 1.0781683707669463e-12, 0.0, 1.0781683707669463e-12, 3.770837471658231e-06, 0.0, 0.0, 0.0, 8.680932180777475e-08]",3
1551447884357587606,,8936,,1551447884,280086279,"""gps""",,2,0,22.320899154,87.3111166492,7.277,"[3.7141105067739195e-06, 8.785417779517393e-13, 0.0, 8.785417779517393e-13, 3.714107196589999e-06, 0.0, 0.0, 0.0, 7.687906545033906e-08]",3
1551447884407715595,,8937,,1551447884,329886913,"""gps""",,2,0,22.3208991543,87.3111166491,7.277,"[3.6482410646977353e-06, 7.239775078664461e-13, 0.0, 7.239775078664461e-13, 3.6482383369606927e-06, 0.0, 0.0, 0.0, 5.9599944048055276e-08]",3
1551447884457719549,,8938,,1551447884,329886913,"""gps""",,2,0,22.3208991543,87.3111166491,7.277,"[3.6482410646977353e-06, 7.239775078664461e-13, 0.0, 7.239775078664461e-13, 3.6482383369606927e-06, 0.0, 0.0, 0.0, 5.9599944048055276e-08]",3
1551447884509128999,,8939,,1551447884,404909849,"""gps""",,2,0,22.3208991565,87.3111166485,7.277,"[3.597118724631567e-06, 7.672150965289684e-13, 0.0, 7.672150965289684e-13, 3.5971158335918376e-06, 0.0, 0.0, 0.0, 7.063568583746478e-08]",3
1551447884557796783,,8940,,1551447884,454901218,"""gps""",,2,0,22.3208991591,87.3111166479,7.277,"[3.630935723672417e-06, 9.94746012733309e-13, 0.0, 9.9474601262743e-13, 3.630931974707812e-06, 0.0, 0.0, 0.0, 1.199261555882273e-07]",3
1551447884582737872,,8941,,1551447884,504931450,"""gps""",,2,0,22.3208991606,87.3111166475,7.277,"[3.6028351666400235e-06, 1.0318617363087252e-12, 0.0, 1.0318617363087252e-12, 3.602831277626437e-06, 0.0, 0.0, 0.0, 9.969432929636691e-08]",3
1551447884632700240,,8942,,1551447884,554862976,"""gps""",,2,0,22.320899162,87.3111166471,7.277,"[3.5799277410259264e-06, 1.051173705494264e-12, 0.0, 1.051173705388385e-12, 3.5799237792531445e-06, 0.0, 0.0, 0.0, 9.331529429730852e-08]",3
1551447884682794114,,8943,,1551447884,579892874,"""gps""",,2,0,22.3208991627,87.3111166469,7.277,"[3.570613188074839e-06, 1.0602893243595414e-12, 0.0, 1.0602893243595414e-12, 3.57060919195617e-06, 0.0, 0.0, 0.0, 9.198303634859267e-08]",3
1551447884732733569,,8944,,1551447884,629872799,"""gps""",,2,0,22.3208991648,87.3111166463,7.277,"[3.5822704248997297e-06, 1.1804469484148414e-12, 0.0, 1.1804469483089623e-12, 3.5822659762013938e-06, 0.0, 0.0, 0.0, 1.1409765080373574e-07]",3
1551447884782600461,,8945,,1551447884,679864168,"""gps""",,2,0,22.3208991656,87.3111166461,7.277,"[3.5508278076936214e-06, 1.096738409288546e-12, 0.0, 1.0967384091826668e-12, 3.550823674628049e-06, 0.0, 0.0, 0.0, 8.902990667546292e-08]",3
