rosbagTimestamp,x,y
1408247000000,0.25,1.0981409672
1408259000000,0.25,1.1076533106
1408271000000,0.25,1.1171623123
1408284000000,0.25,1.1266738045
1408297000000,0.25,1.136189708
1408310000000,0.25,1.145703965
1408311000000,0.25,1.1552134802
1408317000000,0.25,1.1647224203
1408327000000,0.25,1.1742363333
1408340000000,0.25,1.1837519542
1408354000000,0.25,1.1932631451
1408367000000,0.25,1.202770864
1408368000000,0.25,1.2122816478
1408381000000,0.25,1.2217971734
1408387000000,0.25,1.2313105122
1408401000000,0.25,1.2408186615
1408415000000,0.25,1.2503273685
1408428000000,0.25,1.259839557
1408429000000,0.25,1.269354175
1408441000000,0.25,1.2788650921
1408447000000,0.25,1.288372259
1408460000000,0.25,1.2978815022
1408473000000,0.25,1.3073955169
1408486000000,0.25,1.3169083311
1408499000000,0.25,1.3264161947
1408500000000,0.25,1.3359229584
1408512000000,0.25,1.3454346371
1408517000000,0.25,1.3549486312
1408530000000,0.25,1.3644582941
1408544000000,0.25,1.373964028
1408557000000,0.25,1.3834723971
1408571000000,0.25,1.3929859415
1408572000000,0.25,1.4024977596
1408585000000,0.25,1.4120041288
1408587000000,0.25,1.421510511
1408600000000,0.25,1.431020271
1408613000000,0.25,1.4405331815
1408627000000,0.25,1.4500425242
1408640000000,0.25,1.4595475572
1408641000000,0.25,1.4690541769
1408654000000,0.25,1.4785660658
1408657000000,0.25,1.4880773268
1408670000000,0.25,1.4975833149
1408684000000,0.25,1.507087528
1408698000000,0.25,1.5165966305
1408699000000,0.25,1.5261088592
1408711000000,0.25,1.5356168514
1408717000000,0.25,1.5451202822
1408729000000,0.25,1.55462648
1408742000000,0.25,1.5641364345
1408755000000,0.25,1.5736466096
1408770000000,0.25,1.5831521591
1408771000000,0.25,1.5926554955
1408783000000,0.25,1.6021626944
1408787000000,0.25,1.611673299
1408800000000,0.25,1.6211806574
1408815000000,0.25,1.6306835637
1408829000000,0.25,1.6401876184
1408830000000,0.25,1.649696904
1408843000000,0.25,1.659206026
1408847000000,0.25,1.6687099612
1408860000000,0.25,1.6782117608
1408874000000,0.25,1.6877180823
1408887000000,0.25,1.6972278897
1408900000000,0.25,1.7067338095
1408900000000,0.25,1.7162349876
1408912000000,0.25,1.7257377921
1408917000000,0.25,1.7352463717
1408930000000,0.25,1.7447543487
1408944000000,0.25,1.7542565512
1408957000000,0.25,1.7637567341
1408970000000,0.25,1.7732621698
1408971000000,0.25,1.7827041865
1408984000000,0.25,1.7922752385
1408987000000,0.25,1.8017757045
1408999000000,0.25,1.8112768338
1409013000000,0.25,1.8207833009
1409026000000,0.25,1.830290166
1409039000000,0.25,1.8397918122
1409040000000,0.25,1.8492908215
1409052000000,0.25,1.8587940456
1409057000000,0.25,1.8683012918
1409071000000,0.25,1.8778049846
1409084000000,0.25,1.8873035817
1409097000000,0.25,1.8968032524
1409111000000,0.25,1.9063088628
1409111000000,0.25,1.9158145073
1409117000000,0.25,1.925314312
1409127000000,0.25,1.9348115305
1409140000000,0.25,1.9443136863
1409153000000,0.25,1.9538200015
1409167000000,0.25,1.9633220554
1409180000000,0.25,1.9728186759
1409181000000,0.25,1.982317564
1409193000000,0.25,1.9918208295
1409197000000,0.25,2.001325176
1409210000000,0.25,2.0108243199
1409224000000,0.25,2.020320275
1409237000000,0.25,2.0298200799
1409250000000,0.25,2.0393244735
1409251000000,0.25,2.0488257208
1409264000000,0.25,2.0583215035
1409267000000,0.25,2.0678177625
1409281000000,0.25,2.0773200974
1409293000000,0.25,2.0868231687
1409306000000,0.25,2.0963203575
1409312000000,0.25,2.1058143602
1409317000000,0.25,2.1153129402
1409330000000,0.25,2.1248163323
1409344000000,0.25,2.1343158614
1409358000000,0.25,2.1438095249
1409358000000,0.25,2.1533048382
1409373000000,0.25,2.1628046515
1409377000000,0.25,2.172306375
1409389000000,0.25,2.1818028435
1409402000000,0.25,2.1912954073
1409415000000,0.25,2.2007914257
1409429000000,0.25,2.2102927864
1409429000000,0.25,2.2197914864
1409442000000,0.25,2.2292841877
1409447000000,0.25,2.2387766341
1409460000000,0.25,2.2482753926
1409473000000,0.25,2.2577757963
1409487000000,0.25,2.2672701995
1409500000000,0.25,2.2766911969
1409501000000,0.25,2.2862556103
1409512000000,0.25,2.2957544757
1409517000000,0.25,2.3052518167
1409530000000,0.25,2.3147436532
1409544000000,0.25,2.3242344566
1409558000000,0.25,2.3337305412
1409559000000,0.25,2.3432289701
1409572000000,0.25,2.3527224403
1409577000000,0.25,2.3622117338
1409592000000,0.25,2.3717039739
1409606000000,0.25,2.3812016848
1409619000000,0.25,2.3906972749
1409620000000,0.25,2.400186846
1409633000000,0.25,2.4096756673
1409637000000,0.25,2.4191704988
1409650000000,0.25,2.4286675123
1409664000000,0.25,2.4381588323
1409678000000,0.25,2.4476458467
1409679000000,0.25,2.4571364811
1409692000000,0.25,2.4666329996
1409697000000,0.25,2.4761267304
1409712000000,0.25,2.4856139188
1409717000000,0.25,2.4951006957
1409730000000,0.25,2.5045942767
1409744000000,0.25,2.5140883974
1409757000000,0.25,2.5235789088
1409771000000,0.25,2.5330645754
1409772000000,0.25,2.5425526882
1409785000000,0.25,2.5520465866
1409787000000,0.25,2.5615389539
1409801000000,0.25,2.5710251121
1409814000000,0.25,2.5805099086
1409828000000,0.25,2.5900005406
1409829000000,0.25,2.5994940639
1409842000000,0.25,2.6089821163
1409847000000,0.25,2.6184653473
1409861000000,0.25,2.6279516361
1409875000000,0.25,2.6374442157
1409890000000,0.25,2.6469346574
1409890000000,0.25,2.6564183133
1409903000000,0.25,2.6659008741
1409907000000,0.25,2.6753900855
1409917000000,0.25,2.6848806168
1409930000000,0.25,2.6943678325
1409944000000,0.25,2.7038495615
1409958000000,0.25,2.7133331076
1409958000000,0.25,2.7228229178
1409972000000,0.25,2.7323119732
